Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,GDP,Status,Status_Encoded
Single,2nd phase - general contingent,2,Tourism,Daytime,Secondary education,136,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",123,Yes,No,Yes,Female,No,19,6,8,6,12,0,0,6,6,6,13,0,2,Un-Dropout,1
Single,2nd phase - general contingent,5,Advertising and Marketing Management,Daytime,Secondary education,125,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",119,Yes,No,Yes,Female,No,18,6,10,4,13,0,0,6,7,5,12,0,2,Un-Dropout,1
Married,Over 23 years old,1,Management,Daytime,Secondary education,133,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,140,No,No,No,Female,No,35,5,8,4,12,1,0,5,8,5,11,0,-3,Dropout,0
Single,Over 23 years old,1,Social Service (evening attendance),Evening,Secondary education,133,Secondary Education - 12th Year of Schooling or Eq.,Other - 11th Year of Schooling,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",116,No,No,Yes,Male,Yes,24,6,6,4,12,0,0,6,10,4,11,0,1,Un-Dropout,1
Single,2nd phase - general contingent,1,Social Service,Daytime,Secondary education,120,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,113,Yes,No,Yes,Female,Yes,20,6,7,6,11,0,0,6,8,6,12,0,0,Un-Dropout,1
Single,1st phase - general contingent,3,Journalism and Communication,Daytime,Secondary education,143,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Unskilled Workers,133,Yes,No,Yes,Male,Yes,18,6,7,6,13,0,0,6,7,6,13,0,0,Un-Dropout,1
Single,1st phase - general contingent,3,Nursing,Daytime,Secondary education,133,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Unskilled Workers,115,Yes,No,Yes,Male,Yes,20,8,8,7,13,0,0,8,8,7,13,0,1,Un-Dropout,1
Single,2nd phase - general contingent,5,Tourism,Daytime,Secondary education,121,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",116,Yes,No,No,Male,No,18,6,12,0,0,0,0,6,0,0,0,0,-3,Dropout,0
Single,1st phase - general contingent,1,Informatics Engineering,Daytime,Secondary education,168,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Administrative staff,171,No,No,Yes,Male,Yes,18,5,6,5,17,0,0,5,8,5,18,0,1,Un-Dropout,1
Single,1st phase - general contingent,1,Advertising and Marketing Management,Daytime,Secondary education,124,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",119,No,No,Yes,Male,Yes,20,5,7,4,11,0,0,5,7,4,11,0,-3,Un-Dropout,1
Single,2nd phase - general contingent,2,Basic Education,Daytime,Secondary education,127,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,121,Yes,No,Yes,Male,No,19,7,10,6,13,0,0,7,9,6,12,0,1,Dropout,0
Single,1st phase - general contingent,2,Communication Design,Daytime,Secondary education,129,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Unskilled Workers,132,Yes,No,Yes,Male,Yes,20,6,9,6,11,0,0,6,6,5,13,0,0,Un-Dropout,1
Single,1st phase - general contingent,1,Social Service,Daytime,Secondary education,137,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,132,No,No,Yes,Male,No,19,6,6,6,12,0,0,6,8,6,11,0,1,Un-Dropout,1
Single,1st phase - general contingent,1,Journalism and Communication,Daytime,Secondary education,120,Can read without having a 4th year of schooling,Basic education 1st cycle (4th/5th year) or equiv.,Student,Student,126,Yes,No,Yes,Male,No,20,6,9,5,12,0,0,6,11,4,11,0,0,Un-Dropout,1
Single,1st phase - general contingent,1,Nursing,Daytime,Secondary education,110,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",105,Yes,No,Yes,Male,No,22,7,8,6,14,0,0,8,9,7,13,0,2,Un-Dropout,1
Single,2nd phase - general contingent,2,Informatics Engineering,Daytime,Secondary education,120,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,117,No,No,Yes,Male,Yes,18,5,8,4,13,0,0,6,10,6,13,0,2,Un-Dropout,1
Single,1st phase - general contingent,1,Nursing,Daytime,Secondary education,143,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,140,No,No,Yes,Male,No,19,8,8,7,14,0,0,8,8,7,14,0,-1,Un-Dropout,1
Single,Technological specialization diploma holders,1,Agronomy,Daytime,Technological specialization course,120,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",120,No,No,Yes,Male,No,22,6,15,3,11,0,0,6,12,2,10,0,0,Dropout,0
Single,2nd phase - general contingent,5,Informatics Engineering,Daytime,Secondary education,124,Higher Education - Master's,Other - 11th Year of Schooling,Specialists in Intellectual and Scientific Activities,Unskilled Workers,119,Yes,No,Yes,Male,No,20,5,5,5,14,0,0,5,5,5,17,0,3,Un-Dropout,1
Married,Over 23 years old,1,Agronomy,Daytime,Secondary education,168,Secondary Education - 12th Year of Schooling or Eq.,Specialized higher studies course,Unskilled Workers,Intermediate Level Technicians and Professions,153,No,Yes,No,Male,No,34,6,7,0,0,0,0,6,0,0,0,0,1,Dropout,0
Married,Over 23 years old,1,Social Service (evening attendance),Evening,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,130,No,No,Yes,Male,No,24,6,14,1,10,0,0,5,5,0,0,0,0,Dropout,0
Single,Over 23 years old,2,Advertising and Marketing Management,Daytime,Secondary education,150,Unknown,Unknown,Student,Student,107,Yes,No,Yes,Male,No,26,5,5,0,0,0,0,5,5,0,0,0,0,Dropout,0
Single,Over 23 years old,1,Nursing,Daytime,Secondary education,140,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",132,No,No,Yes,Male,No,35,7,10,4,12,0,0,7,9,5,12,0,1,Dropout,0
Single,1st phase - general contingent,1,Management (evening attendance),Evening,Secondary education,145,Higher Education - Bachelor's Degree,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,Unskilled Workers,127,Yes,No,Yes,Male,No,22,5,9,5,12,1,0,5,7,5,11,0,0,Un-Dropout,1
Single,3rd phase - general contingent,1,Tourism,Daytime,Secondary education,118,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",123,Yes,No,Yes,Male,No,26,6,10,4,10,0,0,6,11,3,12,0,-3,Un-Dropout,1
Single,2nd phase - general contingent,1,Management,Daytime,Secondary education,123,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,Administrative staff,122,No,No,Yes,Male,No,19,5,7,3,12,0,0,5,5,0,0,0,3,Dropout,0
Single,1st phase - general contingent,5,Tourism,Daytime,Secondary education,120,Higher Education - Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,Unskilled Workers,114,Yes,No,No,Male,No,19,6,0,0,0,0,0,6,0,0,0,0,3,Dropout,0
Single,Technological specialization diploma holders,1,Animation and Multimedia Design,Daytime,Technological specialization course,140,Higher Education - Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,140,No,Yes,Yes,Male,No,20,0,0,0,0,0,0,0,0,0,0,0,-4,Un-Dropout,1
Single,Change of institution/course,1,Advertising and Marketing Management,Daytime,Secondary education,126,Higher Education - Degree,Higher Education - Degree,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",Armed Forces Professions,111,No,Yes,Yes,Male,No,21,11,12,10,12,0,2,8,9,8,13,0,2,Un-Dropout,1
Single,1st phase - general contingent,2,Journalism and Communication,Daytime,Secondary education,137,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",133,Yes,No,Yes,Female,Yes,19,6,7,6,14,0,0,6,6,6,15,0,0,Un-Dropout,1
Single,1st phase - general contingent,3,Journalism and Communication,Daytime,Secondary education,130,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,123,Yes,No,Yes,Female,No,18,6,6,6,12,0,0,6,7,6,12,0,-1,Un-Dropout,1
Single,Short cycle diploma holders,1,Agronomy,Daytime,Professional higher technical course,150,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Installation and Machine Operators and Assembly Workers,Installation and Machine Operators and Assembly Workers,150,No,No,Yes,Female,Yes,23,12,14,12,14,0,5,10,12,10,13,0,3,Un-Dropout,1
Single,2nd phase - general contingent,3,Management,Daytime,Secondary education,147,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",132,Yes,No,Yes,Female,Yes,18,5,5,5,13,0,0,5,6,5,12,0,-1,Un-Dropout,1
Single,3rd phase - general contingent,1,Nursing,Daytime,Secondary education,140,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",126,Yes,No,Yes,Female,No,18,8,8,7,13,0,0,8,8,7,13,0,-1,Un-Dropout,1
Single,1st phase - general contingent,3,Nursing,Daytime,Secondary education,132,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,119,Yes,No,Yes,Female,No,19,8,8,7,11,0,0,8,8,7,11,0,1,Un-Dropout,1
Single,Short cycle diploma holders,1,Management,Daytime,Professional higher technical course,130,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Data, accounting, statistical, financial services and registry-related operators","Skilled workers in metallurgy, metalworking and similar",133,Yes,No,Yes,Female,No,21,11,17,11,11,0,3,9,13,8,12,0,3,Un-Dropout,1
Single,1st phase - general contingent,1,Veterinary Nursing,Daytime,Secondary education,130,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",126,Yes,No,Yes,Female,Yes,18,6,13,6,16,0,0,6,8,6,13,0,-4,Un-Dropout,1
Single,1st phase - general contingent,1,Journalism and Communication,Daytime,Secondary education,151,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",138,Yes,No,Yes,Female,Yes,24,6,7,6,13,0,0,6,6,6,12,0,1,Un-Dropout,1
Single,1st phase - general contingent,4,Nursing,Daytime,Secondary education,144,Higher Education - Degree,Technological specialization course,Specialists in Intellectual and Scientific Activities,Intermediate Level Technicians and Professions,129,Yes,No,Yes,Female,No,18,7,8,7,12,0,0,8,9,8,13,0,0,Dropout,0
Single,1st phase - general contingent,1,Advertising and Marketing Management,Daytime,Secondary education,127,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",118,Yes,No,Yes,Female,No,18,6,7,6,12,0,0,6,10,3,12,0,0,Un-Dropout,1
Single,2nd phase - general contingent,2,Nursing,Daytime,Secondary education,131,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",129,Yes,No,Yes,Female,No,20,7,8,6,14,0,0,8,10,7,14,0,1,Un-Dropout,1
Single,2nd phase - general contingent,2,Veterinary Nursing,Daytime,Secondary education,123,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Unskilled Workers,113,Yes,No,Yes,Female,No,19,5,13,3,12,2,0,5,8,4,11,0,-3,Un-Dropout,1
Single,1st phase - general contingent,5,Journalism and Communication,Daytime,Secondary education,130,Unknown,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Student,Installation and Machine Operators and Assembly Workers,128,Yes,No,No,Female,Yes,18,6,12,3,12,0,0,6,15,3,10,0,0,Dropout,0
Single,Change of course,1,Tourism,Daytime,Secondary education,130,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",130,No,No,Yes,Female,Yes,19,6,11,4,12,0,0,6,14,3,11,0,1,Dropout,0
Single,2nd phase - general contingent,2,Basic Education,Daytime,Secondary education,131,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,Installation and Machine Operators and Assembly Workers,121,Yes,No,Yes,Female,No,19,6,10,5,12,0,0,6,7,5,11,0,1,Un-Dropout,1
Single,1st phase - general contingent,5,Social Service,Daytime,Higher education - degree,135,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Intermediate Level Technicians and Professions,129,No,Yes,Yes,Female,No,18,6,6,6,12,0,0,6,6,6,12,0,1,Un-Dropout,1
Single,1st phase - general contingent,2,Basic Education,Daytime,Secondary education,123,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Meal preparation assistants,Other Armed Forces personnel,115,Yes,No,Yes,Female,No,20,7,8,6,13,0,0,7,8,6,14,0,2,Un-Dropout,1
Single,1st phase - general contingent,5,Nursing,Daytime,Secondary education,145,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,125,Yes,No,Yes,Female,Yes,18,8,8,8,13,0,0,8,8,8,13,0,-3,Un-Dropout,1
Single,2nd phase - general contingent,6,Oral Hygiene,Daytime,Secondary education,118,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",117,Yes,No,Yes,Female,Yes,19,7,11,6,12,0,0,7,8,6,12,0,2,Un-Dropout,1
Single,2nd phase - general contingent,3,Management,Daytime,Secondary education,125,Higher Education - Degree,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Specialists in Intellectual and Scientific Activities,Armed Forces Professions,118,Yes,No,Yes,Female,No,18,5,16,4,10,0,0,5,11,2,12,0,0,Un-Dropout,1
Single,1st phase - general contingent,2,Nursing,Daytime,Secondary education,152,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,139,Yes,No,Yes,Female,No,18,7,7,6,14,0,0,7,7,6,14,0,0,Un-Dropout,1
Single,1st phase - general contingent,1,Veterinary Nursing,Daytime,Secondary education,101,Secondary Education - 12th Year of Schooling or Eq.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,Unskilled Workers,98,Yes,No,Yes,Female,No,21,6,12,4,12,0,0,6,13,2,12,0,2,Un-Dropout,1
Single,2nd phase - general contingent,1,Tourism,Daytime,Secondary education,137,Unknown,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Student,"Skilled Workers in Industry, Construction and Craftsmen",137,Yes,Yes,No,Female,No,19,6,14,1,10,0,0,6,13,0,0,0,0,Dropout,0
Single,1st phase - general contingent,4,Nursing,Daytime,Secondary education,123,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,113,Yes,No,Yes,Female,No,21,7,8,7,14,0,0,8,9,8,14,0,1,Un-Dropout,1
Single,1st phase - general contingent,1,Veterinary Nursing,Daytime,Secondary education,120,Higher Education - Master's,Secondary Education - 12th Year of Schooling or Eq.,Specialists in Intellectual and Scientific Activities,Unskilled Workers,113,No,No,Yes,Female,No,18,6,14,4,11,0,0,6,17,3,13,0,2,Un-Dropout,1
Single,2nd phase - general contingent,3,Oral Hygiene,Daytime,Secondary education,131,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",128,No,No,Yes,Female,Yes,18,7,9,7,12,0,0,8,8,8,13,0,-1,Un-Dropout,1
Single,1st phase - general contingent,1,Nursing,Daytime,Secondary education,141,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Armed Forces Professions,142,No,No,Yes,Female,No,18,7,7,7,13,0,0,8,9,8,13,0,2,Un-Dropout,1
Single,1st phase - general contingent,1,Equinculture,Daytime,Secondary education,144,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Eq.,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",Intermediate Level Technicians and Professions,137,No,No,No,Female,No,23,5,9,0,0,3,1,5,10,1,12,3,1,Dropout,0
Single,1st phase - general contingent,1,Social Service,Daytime,Secondary education,107,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",103,Yes,No,Yes,Female,No,20,6,13,3,11,0,0,6,9,4,12,0,0,Un-Dropout,1
Single,1st phase - general contingent,1,Nursing,Daytime,Secondary education,133,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",123,No,No,Yes,Female,No,18,7,7,7,13,0,0,8,9,8,13,0,0,Un-Dropout,1
Single,2nd phase - general contingent,2,Basic Education,Daytime,Secondary education,126,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Specialists in Intellectual and Scientific Activities,Armed Forces Professions,126,Yes,No,Yes,Female,No,19,6,9,5,13,0,0,6,8,5,10,0,0,Un-Dropout,1
Single,Over 23 years old,1,Nursing,Daytime,Secondary education,133,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Intermediate Level Technicians and Professions,"Skilled Workers in Industry, Construction and Craftsmen",121,No,No,Yes,Female,Yes,27,7,8,6,12,0,0,7,9,6,11,0,1,Un-Dropout,1
Single,2nd phase - general contingent,1,Management,Daytime,Secondary education,147,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",142,Yes,Yes,No,Female,Yes,19,5,5,5,12,0,0,5,5,4,12,0,2,Un-Dropout,1
Single,Change of course,1,Equinculture,Daytime,Secondary education,120,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,120,Yes,No,Yes,Female,No,21,6,14,5,11,1,0,6,13,5,11,1,-4,Dropout,0
Single,3rd phase - general contingent,1,Nursing,Daytime,Secondary education,130,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Installation and Machine Operators and Assembly Workers,119,Yes,No,Yes,Female,Yes,19,8,8,7,11,0,0,8,8,7,11,0,1,Un-Dropout,1
Single,Technological specialization diploma holders,1,Social Service,Daytime,Secondary education,120,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Unskilled Workers,121,No,No,Yes,Female,Yes,21,6,6,6,12,0,2,6,8,6,11,0,0,Un-Dropout,1
Single,1st phase - general contingent,5,Journalism and Communication,Daytime,Secondary education,138,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,139,Yes,No,Yes,Female,No,18,6,7,5,12,0,0,6,10,4,12,0,1,Un-Dropout,1
Single,2nd phase - general contingent,1,Veterinary Nursing,Daytime,Secondary education,124,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",113,Yes,No,Yes,Female,Yes,20,5,8,5,12,1,0,5,8,4,15,1,-1,Un-Dropout,1
Single,1st phase - general contingent,1,Basic Education,Daytime,Secondary education,133,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",124,Yes,No,Yes,Female,Yes,18,6,8,5,13,0,0,6,9,5,13,0,-3,Un-Dropout,1
Single,2nd phase - general contingent,1,Communication Design,Daytime,Secondary education,122,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Installation and Machine Operators and Assembly Workers,123,Yes,Yes,No,Female,Yes,18,6,6,6,11,0,0,6,8,6,11,0,-1,Dropout,0
Single,1st phase - general contingent,3,Veterinary Nursing,Daytime,Secondary education,138,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Degree,Administrative staff,Administrative staff,126,Yes,No,Yes,Female,No,18,6,8,6,14,0,0,6,9,6,13,0,3,Un-Dropout,1
Single,2nd phase - general contingent,4,Journalism and Communication,Daytime,Secondary education,134,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,120,Yes,No,Yes,Female,Yes,18,6,6,6,12,0,0,6,6,6,13,0,0,Un-Dropout,1
Single,1st phase - general contingent,3,Nursing,Daytime,Secondary education,128,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",120,Yes,No,Yes,Female,Yes,19,7,10,5,13,0,0,7,7,7,12,0,1,Un-Dropout,1
Single,Short cycle diploma holders,1,Veterinary Nursing,Daytime,Professional higher technical course,140,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Installation and Machine Operators and Assembly Workers,Unskilled Workers,144,Yes,Yes,No,Female,No,23,11,18,11,13,0,4,9,15,8,13,0,3,Un-Dropout,1
Single,Over 23 years old,1,Veterinary Nursing,Daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Unskilled Workers,139,Yes,No,Yes,Female,Yes,24,6,7,6,12,0,0,6,11,6,12,0,3,Un-Dropout,1
Single,1st phase - general contingent,1,Animation and Multimedia Design,Daytime,Secondary education,142,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,133,Yes,No,Yes,Female,No,19,0,0,0,0,0,0,0,0,0,0,0,1,Un-Dropout,1
Single,1st phase - general contingent,3,Nursing,Daytime,Secondary education,141,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,126,Yes,No,Yes,Female,No,18,8,8,7,15,0,0,8,8,7,15,0,-1,Un-Dropout,1
Single,1st phase - general contingent,2,Communication Design,Daytime,Secondary education,145,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Intermediate Level Technicians and Professions,133,No,No,Yes,Female,No,19,6,6,6,12,0,0,6,6,6,11,0,-1,Un-Dropout,1
Single,2nd phase - general contingent,2,Basic Education,Daytime,Secondary education,145,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Unskilled Workers,127,Yes,No,Yes,Female,No,19,6,0,0,0,0,0,6,0,0,0,0,1,Dropout,0
Single,1st phase - general contingent,1,Social Service,Daytime,Secondary education,108,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Installation and Machine Operators and Assembly Workers,105,No,No,Yes,Female,Yes,20,6,11,5,10,0,0,6,9,5,11,0,2,Un-Dropout,1
